station name;latitude;longitude;elevation (m);deep firn temperature (degC);slope (deg);mean accumulation (m_weq);Initial height T (m);Initial height WS (m);
Swiss Camp;69.56833;-49.31582;1149;;;;;;
CP1;69.87975;-46.98667;2022;-17.4;0.35;0.47;0;0;0.4
NASA-U;73.84189;-49.49831;2369;-23.5;0;0.5;0;0;
GITS;77.13781;-61.04113;1887;-24.6;0.2;0.35;0;0;
Humboldt;78.5266;-56.8305;1995;;;;;;
Summit;72.57972;-38.50454;3254;-31;0;0.159;;;
TUNU-N;78.01677;-33.99387;2113;-28.5;0.36;;0;0;
DYE-2;66.48001;-46.27889;2165;-15.5;0.2;0.36;0;0;
Dye-2_long;66.48001;-46.27889;2165;-15.5;0.2;0.476;0;0;
Dye-2_16;66.48001;-46.27889;2165;-13;0.2;0.476;0;0;
JAR;694.98358;-49.68156;962;;;;;;
Saddle;65.99947;-44.50016;2559;-20;0.15;;;;
SouthDome;63.14889;-44.81717;2922;-21;0;;0;0;
NASA-E;75;-29.99972;2631;-30;0.32;;0;0;
CP2;69.87968;-46.98692;1990;;;;;;
NGRIP;75.09975;-42.33256;2950;-30;0.2;0.4;0;0;
NASA-SE;66.4797;-42.5002;2425;-19.2;0.35;0.7;0;0;
KAR;69.69942;-33.00058;2579;;;;;;
JAR 2;69.42;-50.0575;568;;;;;;
KULU;65.75845;-39.60177;878;;;;;;
KPC_L;79.9108;-24.0832;370;-5;4.97;1.05;2.85;2.98;
KPC_U;79.8345;-25.1665;870;-5;4.97;1.05;2.85;2.98;
SCO_L;72.224;-26.818;470;-5;4.97;1.05;2.85;2.98;
SCO_U;72.3937;-27.2383;980;-5;4.97;1.05;2.85;2.98;
MIT;65.6923;-37.8277;450;-5;4.97;1.05;2.85;2.98;
TAS_L;65.6403;-38.8987;260;-5;4.97;1.05;2.85;2.98;
TAS_U;65.6978;-38.8668;570;-5;4.97;1.05;2.85;2.98;
TAS_A;65.7797;-38.9008;890;-5;4.97;1.05;2.85;2.98;
QAS_L;61.0308;-46.8488;280;-5;4.97;1.05;2.85;2.98;
QAS_U;61.1758;-46.819;900;-5;4.97;1.05;2.85;2.98;
QAS_A;61.243;-46.7328;1000;-5;4.97;1.05;2.85;2.98;
NUK_L;64.4822;-49.5325;540;-5;4.97;1.05;2.85;2.98;
NUK_U;64.511;-49.2663;1130;-5;4.97;1.05;2.85;2.98;
NUK_K;64.1623;-51.3587;710;0;4.97;1.05;2.85;2.98;
NUK_N;64.9452;-49.885;920;-5;4.97;1.05;2.85;2.98;
KAN_B;67.1252;-50.1832;350;-5;4.97;1.05;2.85;2.98;
KAN_L;67.0957;-49.9485;680;-5;4.97;1.05;2.85;2.98;
KAN_M;67.0667;-48.8327;1270;-5;4.97;1.05;2.85;2.98;
KAN_U;67.0003;-47.0243;1840;-9;0.5;0.54;2.6;3.1;
UPE_L;72.8932;-54.2953;220;-5;4.97;1.05;2.85;2.98;
UPE_U;72.8883;-53.5715;940;-5;4.97;1.05;2.85;2.98;
THU_L;76.3998;-68.2662;570;-5;4.97;1.05;2.85;2.98;
THU_U;76.4197;-68.146;770;-5;4.97;1.05;2.85;2.98;
Miege;66.3618;-39.3086;1661;0;1;1;0;0;
FA;66.3618;-39.3086;1661;0;0.6;1.7;0;0;
CEN;77.1826;-61.1127;1886;-24.6;0.2;0.35;0;0;
EGP;75.6;-35.9;2700;-23;0.2;0.35;0;0;

