station name;latitude;longitude;elevation (m)
Swiss Camp;69.56833;-49.31582;1149
CP1;69.87975;-46.98667;2022
NASA-U;73.84189;-49.49831;2369
GITS;77.13781;-61.04113;1887
Humboldt;78.5266;-56.8305;1995
Summit;72.57972;-38.50454;3254
TUNU-N;78.01677;-33.99387;2113
DYE-2;66.48001;-46.27889;2165
DYE-2_long;66.48001;-46.27889;2165
DYE-2_HQ;66.48001;-46.27889;2165
JAR;694.98358;-49.68156;962
Saddle;65.99947;-44.50016;2559
South Dome;63.14889;-44.81717;2922
NASA-E;75;-29.99972;2631
CP2;69.87968;-46.98692;1990
NGRIP;75.09975;-42.33256;2950
NASA-SE;66.4797;-42.5002;2425
KAR;69.69942;-33.00058;2579
JAR 2;69.42;-50.0575;568
KULU;65.75845;-39.60177;878
KPC-L;79.9108;-24.0832;370
KPC-U;79.8345;-25.1665;870
SCO-L;72.224;-26.818;470
SCO-U;72.3937;-27.2383;980
MIT;65.6923;-37.8277;450
TAS-L;65.6403;-38.8987;260
TAS-U;65.6978;-38.8668;570
TAS-A;65.7797;-38.9008;890
QAS-L;61.0308;-46.8488;280
QAS-U;61.1758;-46.819;900
QAS-A;61.243;-46.7328;1000
NUK-L;64.4822;-49.5325;540
NUK-U;64.511;-49.2663;1130
NUK_K;64.1623;-51.3587;710
NUK-N;64.9452;-49.885;920
KAN-B;67.1252;-50.1832;350
KAN-L;67.0957;-49.9485;680
KAN-M;67.0667;-48.8327;1270
KAN-U;67.0003;-47.0243;1840
UPE-L;72.8932;-54.2953;220
UPE-U;72.8883;-53.5715;940
THU-L;76.3998;-68.2662;570
THU-U;76.4197;-68.146;770
Miege;66.3618;-39.3086;1661
